Hennie,Hannenhalli,F,701,163-9973,ROSS,ND,58776,S,Y,3.0,2.1034775,3300,0,3300,0.492213735,1.0986122886681098
Hennie,Hannenhalli,F,701,163-9973,ROSS,ND,58776,S,Y,3.0,2.1034775,3300,0,3300,0.492213735,1.0986122886681098
Jianjian,Jokiniemi,M,802,698-3590,BURLINGTON,VT,5401,M,Y,6.0,4.1988535,0,6600,3300,2.103625604,1.791759469228055
Jianjian,Jokiniemi,M,802,698-3590,BURLINGTON,VT,5401,M,Y,6.0,4.1988535,0,6600,3300,2.103625604,1.791759469228055
Rene,Beke,F,801,619-2334,CORNISH,UT,84308,M,Y,2.5,7.0,0,4950,2475,1.23025,0.9162907318741551
Rene,Beke,F,801,619-2334,CORNISH,UT,84308,M,Y,2.5,7.0,0,4950,2475,1.23025,0.9162907318741551
Mansour,Tawfik,M,419,466-1171,CLEVELAND,OH,44111,S,Y,2.0,1.2099231,1300,0,1300,0.21052661939999998,0.6931471805599453
Mansour,Tawfik,M,419,466-1171,CLEVELAND,OH,44111,S,Y,2.0,1.2099231,1300,0,1300,0.21052661939999998,0.6931471805599453
Dushyanth,Khetawat,F,417,131-3931,REPUBLIC,MO,65738,S,Y,4.0,6.0,2100,0,1200,2.202,1.3862943611198906
Dushyanth,Khetawat,F,417,131-3931,REPUBLIC,MO,65738,S,Y,4.0,6.0,2100,0,1200,2.202,1.3862943611198906
Byoung,Claire,F,347,721-3742,NEW YORK,NY,10268,S,Y,10.0,4.5329266,0,0,1000,4.487597334,2.302585092994046
Byoung,Claire,F,347,721-3742,NEW YORK,NY,10268,S,Y,10.0,4.5329266,0,0,1000,4.487597334,2.302585092994046
Elben,Goullioud,F,731,666-7840,FLINTVILLE,TN,37335,S,N,0.5,0.0,0,0,0,0.0,-0.6931471805599453
Elben,Goullioud,F,731,666-7840,FLINTVILLE,TN,37335,S,N,0.5,0.0,0,0,0,0.0,-0.6931471805599453
Yuichiro,Uckun,F,808,605-9466,MOUNTAIN VIEW,HI,96771,S,N,7.5,8.25,1040,0,0,6.1017,2.0149030205422647
Yuichiro,Uckun,F,808,605-9466,MOUNTAIN VIEW,HI,96771,S,N,7.5,8.25,1040,0,0,6.1017,2.0149030205422647
PerOlof,Motwani,F,980,848-4643,POTECASI,NC,27867,S,Y,10.0,7.8304195,3300,0,3300,7.3136118130000005,2.302585092994046
PerOlof,Motwani,F,980,848-4643,POTECASI,NC,27867,S,Y,10.0,7.8304195,3300,0,3300,7.3136118130000005,2.302585092994046
Eduardus,Deineko,M,402,865-6591,BELVIDERE,NE,68315,M,Y,6.0,6.84,0,206,103,4.0828644,1.791759469228055
